scenario,period,test_start,test_end,selected_candidate,selected_profile,selected_donchian,selected_donchian_exit,selected_volume_mult,selected_sl_atr_mult,fee_mult,slippage_mult,funding_cost_mult,test_trades,test_win_rate,test_return_pct,test_cagr_pct,test_max_dd_pct,test_max_dd_peak_pct,test_final_equity
fee_slippage_2x,5,2025-08-24 04:00:00,2025-11-15 08:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,2.0,2.0,1.0,27,40.74074074074074,12.195365048248528,65.5351138733809,10.050211839167336,10.050211839167336,1121.9536504824853
fee_slippage_2x,6,2025-11-15 12:00:00,2026-02-06 16:00:00,growth_70_compound|D15|DX8|VOL1.2|SL2.0,growth_70_compound,15,8,1.2,2.0,2.0,2.0,1.0,34,52.94117647058824,-4.780408401307704,-19.309713549120843,11.358732733207788,11.358732733207788,952.195915986923
fee_slippage_2x,7,2026-02-06 20:00:00,2026-05-01 00:00:00,growth_70_compound|D15|DX8|VOL1.5|SL2.0,growth_70_compound,15,8,1.5,2.0,2.0,2.0,1.0,22,40.909090909090914,-1.8225039365580984,-7.740234179157723,8.794320869700686,8.794320869700686,981.774960634419
severe_costs,1,2024-09-24 20:00:00,2024-12-17 00:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,2.0,3.0,2.0,32,59.375,13.014271841618324,70.89281961727497,9.359993776335019,9.359993776335019,1130.1427184161832
severe_costs,2,2024-12-17 04:00:00,2025-03-10 08:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,2.0,3.0,2.0,36,63.888888888888886,30.0853381826633,216.46098421226304,4.918317075484781,4.918317075484781,1300.853381826633
severe_costs,3,2025-03-10 12:00:00,2025-06-01 16:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,2.0,3.0,2.0,27,55.55555555555556,6.531220297476853,31.93160018278858,6.638886656606126,6.638886656606126,1065.3122029747685
severe_costs,4,2025-06-01 20:00:00,2025-08-24 00:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,2.0,3.0,2.0,40,47.5,-2.894937682649322,-12.073578896380443,8.185745087374341,8.185745087374341,971.0506231735068
severe_costs,5,2025-08-24 04:00:00,2025-11-15 08:00:00,growth_70_compound|D15|DX8|VOL1.2|SL1.5,growth_70_compound,15,8,1.2,1.5,2.0,3.0,2.0,27,37.03703703703704,3.8615704451416377,18.051741090559737,12.78490298088931,12.78490298088931,1038.6157044514164
severe_costs,6,2025-11-15 12:00:00,2026-02-06 16:00:00,growth_70_compound|D15|DX8|VOL1.2|SL2.0,growth_70_compound,15,8,1.2,2.0,2.0,3.0,2.0,34,32.35294117647059,-11.278224692914659,-40.793092383777065,14.582606915388036,14.582606915388036,887.2177530708534
severe_costs,7,2026-02-06 20:00:00,2026-05-01 00:00:00,growth_70_compound|D15|DX8|VOL1.5|SL2.0,growth_70_compound,15,8,1.5,2.0,2.0,3.0,2.0,22,31.818181818181817,-8.48534236296905,-32.18448130754915,11.7197109868746,11.7197109868746,915.1465763703095
