symbol,entry_time,exit_time,side,entry,exit,size,notional,commission,slippage,funding,bars_held,exit_reason,soft_sl,hard_sl,liquidation_price,entry_equity,pnl_return_pct,risk_pct,risk_mult,risk_reasons,pnl,btc_return_pct,eth_return_pct,eth_minus_btc_pct,btc_realized_vol_pct,rotation_regime,rotation_alignment,rotation_overlay_fold,rotation_overlay_multiplier,rotation_overlay_reason,overlay_pnl,overlay_pnl_return_pct
TRX/USDT,2025-03-24 08:00:00+00:00,2025-03-24 12:00:00,short,0.23,0.23,29312.973479,6679.63,5.3437,10.0194,0.334,1,soft_sl,0.2277,0.23,,4762.8586,-0.136015,0.04072,1.018,adx:trend|daily:aligned|obv:aligned|vp:inside_value|funding_window,-6.48,3.5022219679197386,4.679655870445343,1.1774339025256042,0.423036797490131,eth_alt_leads_up,against_rotation,1.0,1.0,rotation_overlay:keep,-6.48,-0.136015
LINK/USDT,2025-03-28 12:00:00+00:00,2025-03-28 16:00:00,short,14.37,14.18,256.245254,3657.79,2.9262,5.4867,0.1801,1,soft_sl,14.1751,14.58,,4756.3804,0.890891,0.04309,1.077,daily:aligned|obv:aligned|vp:inside_value,42.37,-2.415506514298016,-8.123887470010061,-5.708380955712045,0.7230362957333011,risk_off_broad,with_rotation,1.0,1.0,rotation_overlay:keep,42.37,0.890891
LINK/USDT,2025-04-03 04:00:00+00:00,2025-04-03 08:00:00,short,13.19,12.91,210.945769,2753.45,2.2028,4.1302,-0.1737,1,soft_sl,12.9148,13.4,,4798.7545,1.086001,0.04287,1.072,daily:aligned|obv:aligned|vol:elevated|vp:short_below_value,52.11,2.4020910156274056,1.4479451749994432,-0.9541458406279624,1.5551581973458128,btc_leads_up,neutral_rotation,1.0,1.0,rotation_overlay:keep,52.11,1.086001
DOGE/USDT,2025-04-03 20:00:00+00:00,2025-04-04 00:00:00,short,0.16,0.16,19625.598663,3106.42,2.4851,4.6596,0.2016,1,soft_sl,0.1579,0.16,,4850.8691,0.12023,0.04501,1.125,adx:trend|daily:aligned|obv:aligned|vol:elevated|vp:short_below_value,5.83,-0.5450903651365469,-2.209218945858815,-1.6641285807222683,1.5243621663603184,mixed_neutral,neutral_rotation,1.0,1.0,rotation_overlay:keep,5.83,0.12023
LINK/USDT,2025-04-03 20:00:00+00:00,2025-04-04 00:00:00,short,12.64,12.6,172.71763,2179.92,1.7439,3.2699,0.1074,1,soft_sl,12.6026,13.07,,4850.8691,0.02759,0.03317,1.238,market:trend|adx:trend|daily:aligned|obv:aligned|vol:elevated|vp:short_below_value,1.34,-0.5450903651365469,-2.209218945858815,-1.6641285807222683,1.5243621663603184,mixed_neutral,neutral_rotation,1.0,1.0,rotation_overlay:keep,1.34,0.02759
LINK/USDT,2025-04-07 00:00:00+00:00,2025-04-07 04:00:00,short,11.28,10.87,142.388896,1576.65,1.2613,2.365,0.0788,1,soft_sl,10.8668,11.28,,4858.0396,1.132034,0.02415,0.604,market:trend|adx:trend|daily:aligned|obv:aligned|vol:elevated|rsi:cold_short|vp:short_below_value|weekly_open|funding_window|daily_close,54.99,-5.760295257960002,-13.019686426495202,-7.2593911685352,1.1379680731014825,risk_off_broad,with_rotation,2.0,1.0,rotation_overlay:keep,54.99,1.132034
DOGE/USDT,2025-04-07 04:00:00+00:00,2025-04-07 08:00:00,short,0.14,0.13,11178.405217,1529.71,1.2238,2.2946,-0.027,1,soft_sl,0.1317,0.14,,4908.1605,2.29065,0.02441,0.911,daily:aligned|obv:aligned|vol:elevated|rsi:cold_short|vp:short_below_value,112.43,-6.18242520948108,-13.913053182525825,-7.730627973044745,1.1462531178225224,risk_off_broad,with_rotation,2.0,1.0,rotation_overlay:keep,112.43,2.29065
TRX/USDT,2025-04-14 00:00:00+00:00,2025-04-14 04:00:00,long,0.25,0.26,22272.585022,5721.65,4.5773,8.5825,0.2861,1,soft_sl,0.2592,0.26,,5025.4631,1.755407,0.02869,0.717,market:trend|adx:trend|daily:aligned|obv:aligned|vp:long_above_value|weekly_open|funding_window|daily_close,88.22,5.22057511167644,4.952121821539612,-0.2684532901368275,0.844838089335174,mixed_neutral,neutral_rotation,2.0,1.0,rotation_overlay:keep,88.22,1.755407
TRX/USDT,2025-04-14 08:00:00+00:00,2025-04-14 12:00:00,long,0.26,0.26,32107.982634,8288.58,6.6309,12.4329,0.4144,1,soft_sl,0.2587,0.26,,5113.6804,0.280887,0.04208,1.052,market:trend|adx:trend|daily:aligned|obv:aligned|rsi:hot_long|vp:long_above_value|funding_window,14.36,4.101037264694574,5.3434622645764485,1.2424249998818748,0.8033242936227986,eth_alt_leads_up,with_rotation,2.0,1.0,rotation_overlay:keep,14.36,0.280887
LINK/USDT,2025-04-15 20:00:00+00:00,2025-04-16 00:00:00,short,12.36,12.23,267.19736,3284.5,2.6276,4.9267,-0.1284,1,soft_sl,12.2278,12.6,,5128.0441,0.528388,0.03878,0.97,daily:aligned|obv:aligned|vol:elevated|vp:inside_value,27.1,-1.103993554147742,-2.1755416014471174,-1.0715480472993755,0.7009186612370522,mixed_neutral,neutral_rotation,2.0,1.0,rotation_overlay:keep,27.1,0.528388
