total_pnl,max_dd,ending_balance
76.02999999999999,110.53999999999996,1076.03
76.02999999999999,68.61999999999989,1076.03
76.02999999999999,92.82000000000005,1076.03
76.02999999999999,119.33000000000015,1076.03
76.02999999999999,131.0300000000002,1076.03
76.02999999999999,111.50999999999999,1076.03
76.02999999999999,160.2600000000001,1076.03
76.02999999999999,124.48000000000002,1076.03
76.02999999999999,71.42000000000019,1076.03
76.02999999999999,94.7199999999998,1076.03
76.02999999999999,68.24000000000001,1076.03
76.02999999999999,82.65000000000009,1076.03
76.02999999999999,69.8900000000001,1076.03
76.02999999999999,91.63999999999999,1076.03
76.02999999999999,77.10000000000014,1076.03
76.02999999999999,107.04999999999995,1076.03
76.02999999999999,101.78000000000054,1076.03
76.02999999999999,88.55999999999995,1076.03
76.02999999999999,102.47000000000003,1076.03
76.02999999999999,142.55000000000007,1076.03
76.02999999999999,129.6500000000001,1076.03
76.02999999999999,100.43000000000006,1076.03
76.02999999999999,107.99999999999989,1076.03
76.02999999999999,74.89999999999998,1076.03
76.02999999999999,122.79000000000008,1076.03
76.02999999999999,129.30999999999995,1076.03
76.02999999999999,169.17999999999972,1076.03
76.02999999999999,84.58000000000015,1076.03
76.02999999999999,108.17000000000019,1076.03
76.02999999999999,117.09000000000106,1076.03
76.02999999999999,88.99000000000001,1076.03
76.02999999999999,105.21000000000004,1076.03
76.02999999999999,121.15000000000032,1076.03
76.02999999999999,150.3399999999998,1076.03
76.02999999999999,108.19000000000005,1076.03
76.02999999999999,82.77999999999997,1076.03
76.02999999999999,139.67000000000007,1076.03
76.02999999999999,126.65999999999985,1076.03
76.02999999999999,110.75000000000023,1076.03
76.02999999999999,84.26999999999998,1076.03
76.02999999999999,128.45000000000005,1076.03
76.02999999999999,142.89000000000055,1076.03
76.02999999999999,83.71000000000015,1076.03
76.02999999999999,88.72000000000025,1076.03
76.02999999999999,121.68999999999983,1076.03
76.02999999999999,87.65000000000009,1076.03
76.02999999999999,61.95000000000016,1076.03
76.02999999999999,80.66000000000008,1076.03
76.02999999999999,109.70000000000039,1076.03
76.02999999999999,152.93000000000006,1076.03
76.02999999999999,70.00999999999999,1076.03
76.02999999999999,100.86000000000001,1076.03
76.02999999999999,86.51000000000056,1076.03
76.02999999999999,114.81000000000029,1076.03
76.02999999999999,171.18000000000018,1076.03
76.02999999999999,78.40999999999974,1076.03
76.02999999999999,80.68000000000029,1076.03
76.02999999999999,83.13000000000011,1076.03
76.02999999999999,131.35000000000093,1076.03
76.02999999999999,73.8000000000003,1076.03
76.02999999999999,106.94999999999993,1076.03
76.02999999999999,73.03000000000009,1076.03
76.02999999999999,154.2499999999999,1076.03
76.02999999999999,112.26000000000022,1076.03
76.02999999999999,125.30999999999983,1076.03
76.02999999999999,76.83000000000015,1076.03
76.02999999999999,107.79999999999995,1076.03
76.02999999999999,92.25000000000023,1076.03
76.02999999999999,131.2399999999999,1076.03
76.02999999999999,115.86000000000035,1076.03
76.02999999999999,144.39,1076.03
76.02999999999999,101.93000000000018,1076.03
76.02999999999999,144.28999999999996,1076.03
76.02999999999999,127.93000000000006,1076.03
76.02999999999999,102.30000000000018,1076.03
76.02999999999999,167.25999999999988,1076.03
76.02999999999999,94.85000000000002,1076.03
76.02999999999999,123.19000000000028,1076.03
76.02999999999999,116.06999999999971,1076.03
76.02999999999999,58.06999999999971,1076.03
76.02999999999999,62.219999999999914,1076.03
76.02999999999999,81.35000000000014,1076.03
76.02999999999999,89.56000000000017,1076.03
76.02999999999999,85.62,1076.03
76.02999999999999,121.34000000000015,1076.03
76.02999999999999,95.18000000000006,1076.03
76.02999999999999,91.07000000000016,1076.03
76.02999999999999,67.00000000000011,1076.03
76.02999999999999,97.01999999999998,1076.03
