symbol,entry_time,exit_time,side,entry,exit,size,notional,commission,slippage,funding,bars_held,exit_reason,soft_sl,hard_sl,risk_pct,risk_mult,risk_reasons,pnl
ETH/USDT,2023-12-07 20:00:00,2023-12-08 00:00:00,long,2337.56,2379.75,0.741543,1749.05,1.3992,2.6236,0.3969,1,soft_sl,2379.754,2338.35,0.0499,1.247,adx:strong|daily:aligned|obv:aligned,26.87
SOL/USDT,2023-12-08 04:00:00,2023-12-08 08:00:00,long,71.54,72.78,10.263293,740.61,0.5925,1.1109,0.1781,1,soft_sl,72.7812,70.21,0.04199,1.05,market:trend|adx:strong|daily:aligned|obv:aligned|vol:elevated|rsi:hot_long,10.85
BNB/USDT,2023-12-19 16:00:00,2023-12-19 20:00:00,long,251.18,253.58,6.851275,1729.11,1.3833,2.5937,0.0865,1,soft_sl,253.577,249.41,0.045,1.125,market:trend|adx:trend|daily:aligned|obv:aligned|funding_window,12.36
BNB/USDT,2023-12-20 20:00:00,2023-12-21 00:00:00,long,259.3,259.89,7.896399,2049.89,1.6399,3.0748,-1.9404,1,soft_sl,259.895,255.84,0.05,1.25,market:trend|adx:trend|daily:aligned|obv:aligned,1.92
ETH/USDT,2023-12-22 16:00:00,2023-12-22 20:00:00,long,2321.73,2339.81,0.584651,1362.69,1.0901,2.044,0.0681,1,soft_sl,2339.8095,2295.03,0.04082,1.021,daily:aligned|obv:aligned|funding_window,7.37
ETH/USDT,2023-12-27 20:00:00,2023-12-28 00:00:00,long,2348.61,2388.04,0.784941,1859.0,1.4872,2.7885,0.5068,1,soft_sl,2388.0415,2350.77,0.04536,1.134,daily:aligned|obv:aligned,26.17
ETH/USDT,2023-12-28 08:00:00,2023-12-28 12:00:00,long,2383.06,2409.98,0.697263,1671.0,1.3368,2.5065,0.0836,1,soft_sl,2409.9795,2367.5,0.045,1.125,market:trend|adx:trend|daily:aligned|obv:aligned|funding_window,14.84
ETH/USDT,2024-01-09 00:00:00,2024-01-09 04:00:00,long,2331.12,2336.12,0.588951,1374.39,1.0995,2.0616,0.1374,1,soft_sl,2336.118,2294.94,0.03644,0.911,adx:trend|daily:aligned|obv:aligned|funding_window|daily_close,-0.35
ETH/USDT,2024-01-10 16:00:00,2024-01-10 20:00:00,long,2450.01,2478.05,0.488824,1204.48,0.9636,1.8067,0.0602,1,soft_sl,2478.0515,2422.48,0.04082,1.021,daily:aligned|obv:aligned|funding_window,10.88
ETH/USDT,2024-01-11 00:00:00,2024-01-11 04:00:00,long,2585.81,2612.32,0.325325,845.54,0.6764,1.2683,0.0423,1,soft_sl,2612.3215,2542.08,0.03407,0.852,market:trend|adx:trend|daily:aligned|obv:aligned|rsi:hot_long|funding_window|daily_close,6.64
